city,lat,lng,admin_name
Đồng Lê,17.8839,106.0254,Quảng Bình
Côn Đảo,8.6833,106.6063,Bà Rịa-Vũng Tàu
Đà Bắc,20.8771,105.2542,Hòa Bình
Trà Bồng,15.2557,108.5172,Quảng Ngãi
Chư Prông,13.7568,107.8862,Gia Lai
Chợ Rã,22.4511,105.7191,Bắc Kạn
Bát Xát,22.5431,103.8899,Lào Cai
Ia Pa,13.5336,108.4553,Gia Lai
Chợ Lầu,11.2216,108.5071,Bình Thuận
Khe Sanh,16.6282,106.7388,Quảng Trị
Tô Hạp,12.0058,108.9487,Khánh Hòa
Thị Trấn Thông Nông,22.7841,105.9832,Cao Bằng
Mường Chiên,21.8424,103.5661,Sơn La
Yên Phú,22.7322,105.3715,Hà Giang
Pác Miầu,22.8297,105.4933,Cao Bằng
Tân Việt,22.8641,105.459,Cao Bằng
Củng Sơn,13.05,108.9789,Phú Yên
Sa Thầy,14.4138,107.7934,Kon Tum
Trới,21.0314,106.991,Quảng Ninh
Plei Kần,14.7049,107.6862,Kon Tum
Bộc Bố,22.6121,105.6671,Bắc Kạn
Bắc Yên,21.2463,104.4328,Sơn La
Đồng Xuân,13.3773,109.1081,Phú Yên
Thị Trấn Thất Khê,22.2553,106.4736,Lạng Sơn
Phủ Thông,22.2731,105.8794,Bắc Kạn
Thị Trấn Khánh Yên,22.0894,104.2515,Lào Cai
Thị Trấn Thanh Nhật,22.6875,106.67,Cao Bằng
Kon Dơng,14.0389,108.2501,Gia Lai
Hai Riêng,12.9791,108.8973,Phú Yên
Bằng Lũng,22.1578,105.5956,Bắc Kạn
Thị Trấn Bảo Lạc,22.9492,105.6805,Cao Bằng
Điện Biên Đông,21.2967,103.2201,Điện Biên
M’Đrăk,12.7462,108.7428,Đắk Lắk
Lắk,12.4109,108.1768,Đắk Lắk
Thị Trấn Sìn Hồ,22.3665,103.2344,Lai Châu
Phú Túc,13.1968,108.6904,Gia Lai
Tây Trà,15.1695,108.36,Quảng Ngãi
Kiên Lương,10.2862,104.6462,Kiến Giang
Quỳ Châu,19.5521,105.0939,Nghệ An
Bình Gia,21.9609,106.3645,Lạng Sơn
Thị Trấn Nguyên Bình,22.65,105.9598,Cao Bằng
Vũ Quang,18.3838,105.5059,Hà Tĩnh
Ba Tơ,14.7636,108.7322,Quảng Ngãi
Yến Lạc,22.2369,106.1815,Bắc Kạn
Trà My,15.3397,108.2207,Quảng Nam
Thị Trấn Đông Khê,22.4294,106.4319,Cao Bằng
Vân Tùng,22.4308,105.9969,Bắc Kạn
Quan Hóa,20.3848,105.1002,Thanh Hóa
Mù Cang Chải,21.8513,104.0895,Yên Bái
Thị Trấn Na Hang,22.3492,105.3824,Tuyên Quang
Lạc Dương,12.0041,108.4191,Lâm Đồng
Vĩnh Thạnh,14.1088,108.7838,Bình Định
Mường Lát,20.5292,104.6014,Thanh Hóa
K Bang,14.1445,108.5991,Gia Lai
Ia Kha,13.9624,107.8448,Gia Lai
Thị Trấn Trạm Tấu,21.4666,104.3797,Yên Bái
Quan Sơn,20.2591,104.9452,Thanh Hóa
Con Cuông,19.05,104.8812,Nghệ An
Ea Súp,13.0662,107.8855,Đắk Lắk
Khe Tre,16.1691,107.7179,Thừa Thiên-Huế
A Lưới,16.2723,107.2338,Thừa Thiên-Huế
An Lão,14.6124,108.8899,Bình Định
Quy Đạt,17.8046,105.9704,Quảng Bình
Kông Chro,13.7753,108.5256,Gia Lai
Mường Chà,21.7617,103.0978,Điện Biên
Krông Klang,16.6891,106.8874,Quảng Trị
Mường Xén,19.398,104.1524,Nghệ An
Kim Sơn,19.6041,104.919,Nghệ An
Đắk Glei,15.0864,107.7358,Kon Tum
Vân Canh,13.6195,108.9981,Bình Định
Khánh Vĩnh,12.2835,108.9047,Khánh Hòa
Sốp Cộp,20.9388,103.5971,Sơn La
Đắk Rve,14.5072,108.2473,Kon Tum
Prao,15.9244,107.6481,Quảng Nam
Hòa Bình,19.2639,104.4723,Nghệ An
Mường Nhé,22.1924,102.4579,Điện Biên
Bác Ái,11.841,108.9032,Ninh Thuận
Đình Lập,21.5463,107.0981,Lạng Sơn
Khâm Đức,15.4451,107.7934,Quảng Nam
Thị Trấn Mường Tè,22.3807,102.8201,Lai Châu
Kon Plông,14.6006,108.2909,Kon Tum
Thạnh Mỹ,15.7489,107.8368,Quảng Nam
