city,lat,lng,admin_name
Phúc Thọ,21.1034,105.5455,Hà Nội
An Dương,20.8638,106.6133,Hải Phòng
Mê Linh,21.1831,105.7204,Hà Nội
Như Quỳnh,20.9817,105.9849,Hưng Yên
Nhà Bè,10.6967,106.7403,Hồ Chí Minh
Liên Quan,21.0572,105.5792,Hà Nội
Yên Mỹ,20.8856,106.0356,Hưng Yên
Khoái Châu,20.8391,105.9776,Hưng Yên
Phú Quý,10.5166,108.9329,Bình Thuận
Kim Bài,20.8526,105.7696,Hà Nội
Văn Giang,20.943,105.9312,Hưng Yên
Chúc Sơn,20.9237,105.7015,Hà Nội
Quốc Oai,20.9902,105.6409,Hà Nội
Xuân Trường,20.2923,106.3327,Nam Định
Hồ,21.0631,106.0857,Bắc Ninh
Núi Đèo,20.9157,106.6744,Hải Phòng
Yên Lạc,21.2365,105.573,Vĩnh Phúc
Vĩnh Tường,21.2165,105.5125,Vĩnh Phúc
Núi Đối,20.7508,106.6689,Hải Phòng
Phú Xuyên,20.7455,105.9136,Hà Nội
An Lão,20.8229,106.5558,Hải Phòng
Cổ Lễ,20.3234,106.2658,Nam Định
Hưng Hà,20.5904,106.2245,Thái Bình
Bẩn Yên Nhân,20.9365,106.0571,Hưng Yên
Lim,21.1439,106.0202,Bắc Ninh
Ô Môn,10.1097,105.6232,Cần Thơ
Nam Giang,20.3332,106.1775,Nam Định
Vũ Thư,20.4367,106.2912,Thái Bình
Lai Cách,20.9325,106.2476,Hải Dương
Hậu Lộc,19.9144,105.8861,Thanh Hóa
Đông Hưng,20.5565,106.3553,Thái Bình
Chờ,21.1949,105.9547,Bắc Ninh
Bút Sơn,19.858,105.8548,Thanh Hóa
Quảng Xương,19.7295,105.7827,Thanh Hóa
Quỳnh Côi,20.6619,106.3274,Thái Bình
Vân Đình,20.7351,105.7724,Hà Nội
Lương Bằng,20.74,106.06,Hưng Yên
Gia Lộc,20.8678,106.3,Hải Dương
Thốt Nốt,10.2721,105.5338,Cần Thơ
Yên Định,20.2015,106.2958,Nam Định
Phú Thái,20.9628,106.5095,Hải Dương
Kẻ Sặt,20.9101,106.1477,Hải Dương
Sóc Sơn,21.2578,105.8489,Hà Nội
Thanh Nê,20.3881,106.4383,Thái Bình
Ninh Giang,20.7308,106.3979,Hải Dương
Thắng,21.3551,105.9834,Bắc Giang
Vĩnh Trụ,20.5602,106.0281,Hà Nam
Vạn Hà,19.8866,105.6788,Thanh Hóa
Chợ Mới,10.5512,105.4044,An Giang
Vĩnh Bảo,20.6908,106.4806,Hải Phòng
Ân Thi,20.8184,106.0912,Hưng Yên
Kinh Môn,20.9896,106.5551,Hải Dương
Thanh Miện,20.7871,106.2462,Hải Dương
Đại Nghĩa,20.6867,105.7447,Hà Nội
Thanh Hà,20.8982,106.4261,Hải Dương
Tân Châu,10.7983,105.2389,An Giang
Bình Minh,10.0682,105.8222,Vĩnh Long
Củ Chi,10.9733,106.4932,Hồ Chí Minh
Bích Động,21.2742,106.1007,Bắc Giang
Yên Ninh,20.184,106.0612,Ninh Bình
Điện Bàn,15.8885,108.2545,Quảng Nam
Thứa,21.0194,106.2004,Bắc Ninh
Gia Bình,21.0594,106.1747,Bắc Ninh
Tân Hiệp,10.449,106.3439,Tiền Giang
Rừng Thông,19.8191,105.7328,Thanh Hóa
Tứ Kỳ,20.8191,106.4066,Hải Dương
Ngô Đồng,20.283,106.4435,Nam Định
Mỹ Lộc,20.4411,106.1024,Nam Định
Bình Mỹ,20.4912,106.0095,Hà Nam
Lâm,20.3277,106.0121,Nam Định
Hòa Mạc,20.6417,105.989,Hà Nam
Diễn Châu,18.9765,105.6003,Nghệ An
Phong Điền,9.9975,105.6673,Cần Thơ
Vương,20.7011,106.1175,Hưng Yên
Cần Đước,10.5097,106.6031,Long An
Diêm Điền,20.5583,106.5688,Thái Bình
Tiên Lãng,20.7246,106.5539,Hải Phòng
Nam Sách,20.9921,106.3361,Hải Dương
Nga Sơn,20.0072,105.9704,Thanh Hóa
Phát Diệm,20.0905,106.0832,Ninh Bình
Cần Giuộc,10.6086,106.6713,Long An
An Phú,10.8159,105.0904,An Giang
Trảng Bom,10.9536,107.0059,Đồng Nai
Phú Vang,16.4391,107.7144,Thừa Thiên-Huế
Trần Cao,20.7295,106.1797,Hưng Yên
Lấp Vò,10.3616,105.5192,Đồng Tháp
Gôi,20.3334,106.0783,Nam Định
Hợp Hòa,21.3753,105.5426,Vĩnh Phúc
Phố Mới,21.1533,106.1516,Bắc Ninh
Vôi,21.3552,106.2615,Bắc Giang
Chợ Gạo,10.3498,106.4634,Tiền Giang
Lâm Thao,21.3201,105.2916,Phú Thọ
Liễu Đề,20.2209,106.1875,Nam Định
Tư Nghĩa,15.0845,108.826,Quảng Ngãi
Long Hồ,10.1928,106.0123,Vĩnh Long
Long Khánh,10.9265,107.2478,Đồng Nai
Cao Thượng,21.3871,106.1293,Bắc Giang
Neo,21.2005,106.2474,Bắc Giang
Châu Thành,10.3012,106.357,Bến Tre
An Nhơn,13.8858,109.1082,Bình Định
Phú Mỹ,10.5924,105.3557,An Giang
Chợ Lách,10.2603,106.1189,Bến Tre
Yên Thịnh,20.1625,106.007,Ninh Bình
Phúc Yên,21.237,105.7048,Vĩnh Phúc
Tây Đằng,21.1981,105.4222,Hà Nội
Lai Vung,10.287,105.6617,Đồng Tháp
Phú Thọ,21.3996,105.2222,Phú Thọ
Thanh Lưu,20.474,105.9527,Hà Nam
Quán Lào,19.9715,105.6511,Thanh Hóa
Thọ Xuân,19.9313,105.5218,Thanh Hóa
Bảo Lộc,11.548,107.8077,Lâm Đồng
Thống Nhất,10.9505,107.1457,Đồng Nai
Hương Canh,21.2788,105.647,Vĩnh Phúc
Mỏ Cày,10.1331,106.3352,Bến Tre
Hưng Nguyên,18.6716,105.6288,Nghệ An
Ngã Bảy,9.8137,105.821,Hậu Giang
Tầm Vu,10.4411,106.4679,Long An
Vĩnh Bình,10.345,106.5806,Tiền Giang
Tuy Phước,13.8274,109.1665,Bình Định
Quế,20.5806,105.8727,Hà Nam
Triệu Sơn,19.8191,105.6039,Thanh Hóa
Me,20.347,105.8361,Ninh Bình
Lập Thạch,21.4154,105.4608,Vĩnh Phúc
Cái Tàu Hạ,10.2597,105.8704,Đồng Tháp
Sịa,16.5745,107.5107,Thừa Thiên-Huế
Thiên Tồn,20.299,105.952,Ninh Bình
Nông Cống,19.624,105.6494,Thanh Hóa
Tân Trụ,10.5127,106.5076,Long An
Long Thành,10.7891,106.9503,Đồng Nai
Quảng Yên,20.9421,106.8027,Quảng Ninh
Mộ Đức,14.9551,108.8859,Quảng Ngãi
Hương Trà,16.5254,107.4755,Thừa Thiên-Huế
Cái Nhum,10.1741,106.1105,Vĩnh Long
Cầu Giát,19.146,105.6309,Nghệ An
Vĩnh Lộc,20.0544,105.6157,Thanh Hóa
Sơn Tịnh,15.1586,108.7958,Quảng Ngãi
Một Ngàn,9.924,105.6296,Hậu Giang
Ba Tri,10.0443,106.5902,Bến Tre
Giồng Trôm,10.1502,106.5061,Bến Tre
Cái Dầu,10.5698,105.2295,An Giang
Tân Hòa,10.3191,106.7113,Tiền Giang
Minh Lương,9.9025,105.1595,Kiến Giang
Hương Sơn,21.4601,105.9781,Thái Nguyên
Vũng Liêm,10.0958,106.1855,Vĩnh Long
Ngã Sáu,9.923,105.8054,Hậu Giang
Bến Lức,10.6364,106.491,Long An
Tam Điệp,20.1487,105.8985,Ninh Bình
Đô Lương,18.8985,105.308,Nghệ An
Trà Ôn,9.9626,105.9217,Vĩnh Long
Tam Bình,10.0481,106.0002,Vĩnh Long
Nam Đàn,18.698,105.4988,Nghệ An
Hậu Nghĩa,10.8943,106.3969,Long An
Nhơn Trạch,10.7229,106.8834,Đồng Nai
Kế Sách,9.7674,105.9857,Sóc Trăng
